"task","repeat_id","outer_fold","inner_fold","t_end","eps","log10_eps","k_use","accuracy"
"HEME_vs_CONTROL",1,3,4,14,1e-06,-6,11,0.88295165394402
"HEME_vs_CONTROL",1,3,5,14,1e-06,-6,11,0.86734693877551
"HEME_vs_CONTROL",1,3,1,15,1e-06,-6,11,0.885496183206107
"HEME_vs_CONTROL",1,3,2,15,1e-06,-6,12,0.895674300254453
"HEME_vs_CONTROL",1,3,3,15,1e-06,-6,12,0.888040712468193
"HEME_vs_CONTROL",1,3,4,15,1e-06,-6,11,0.870229007633588
"HEME_vs_CONTROL",1,3,5,15,1e-06,-6,11,0.862244897959184
"HEME_vs_CONTROL",1,3,1,16,1e-06,-6,12,0.885496183206107
"HEME_vs_CONTROL",1,3,2,16,1e-06,-6,12,0.893129770992366
"HEME_vs_CONTROL",1,3,3,16,1e-06,-6,12,0.88295165394402
"HEME_vs_CONTROL",1,3,4,16,1e-06,-6,12,0.867684478371501
"HEME_vs_CONTROL",1,3,5,16,1e-06,-6,12,0.862244897959184
"HEME_vs_CONTROL",1,3,1,17,1e-06,-6,12,0.888040712468193
"HEME_vs_CONTROL",1,3,2,17,1e-06,-6,12,0.905852417302799
"HEME_vs_CONTROL",1,3,3,17,1e-06,-6,12,0.88295165394402
"HEME_vs_CONTROL",1,3,4,17,1e-06,-6,12,0.865139949109415
"HEME_vs_CONTROL",1,3,5,17,1e-06,-6,12,0.864795918367347
"HEME_vs_CONTROL",1,3,1,18,1e-06,-6,12,0.877862595419847
"HEME_vs_CONTROL",1,3,2,18,1e-06,-6,13,0.900763358778626
"HEME_vs_CONTROL",1,3,3,18,1e-06,-6,13,0.870229007633588
"HEME_vs_CONTROL",1,3,4,18,1e-06,-6,13,0.867684478371501
"HEME_vs_CONTROL",1,3,5,18,1e-06,-6,13,0.85969387755102
"HEME_vs_CONTROL",1,3,1,19,1e-06,-6,13,0.880407124681934
"HEME_vs_CONTROL",1,3,2,19,1e-06,-6,13,0.898218829516539
