"task","repeat_id","fold_id","model","t_end","baseline_accuracy","sulfur_accuracy","paired_difference","k_use"
"NUC_vs_CONTROL",17,1,"RF",10,0.830161054172767,0.828696925329429,-0.00146412884333824,10
"NUC_vs_CONTROL",17,1,"BinomialLasso",10,0.673499267935578,0.670571010248902,-0.00292825768667648,10
"NUC_vs_CONTROL",17,1,"Mahalanobis",10,0.661786237188873,0.658857979502196,-0.00292825768667648,10
"NUC_vs_CONTROL",17,2,"RF",10,0.869692532942899,0.868228404099561,-0.00146412884333813,10
"NUC_vs_CONTROL",17,2,"BinomialLasso",10,0.693997071742313,0.685212298682284,-0.00878477306002923,10
"NUC_vs_CONTROL",17,2,"Mahalanobis",10,0.69692532942899,0.692532942898975,-0.00439238653001461,10
"NUC_vs_CONTROL",17,3,"RF",10,0.860703812316716,0.856304985337243,-0.00439882697947214,10
"NUC_vs_CONTROL",17,3,"BinomialLasso",10,0.724340175953079,0.721407624633431,-0.00293255131964809,10
"NUC_vs_CONTROL",17,3,"Mahalanobis",10,0.687683284457478,0.689149560117302,0.00146627565982405,10
"NUC_vs_CONTROL",17,4,"RF",10,0.869309838472834,0.866372980910426,-0.00293685756240825,10
"NUC_vs_CONTROL",17,4,"BinomialLasso",10,0.722466960352423,0.719530102790015,-0.00293685756240814,10
"NUC_vs_CONTROL",17,4,"Mahalanobis",10,0.719530102790015,0.716593245227606,-0.00293685756240825,10
"NUC_vs_CONTROL",17,5,"RF",10,0.839941262848752,0.838472834067548,-0.00146842878120412,10
"NUC_vs_CONTROL",17,5,"BinomialLasso",10,0.6784140969163,0.6784140969163,0,10
"NUC_vs_CONTROL",17,5,"Mahalanobis",10,0.698972099853157,0.687224669603524,-0.0117474302496329,10
