"repeat_id","fold_id","model","t_end","smooth_lambda_name","smooth_lambda","accuracy","k_use"
7,3,"MultinomialLasso",10,"1e-1",0.1,0.777777777777778,6
7,3,"Mahalanobis",10,"1e-1",0.1,0.55,6
7,4,"RF",10,"1e-4",1e-04,0.782122905027933,6
7,4,"MultinomialLasso",10,"1e-4",1e-04,0.76536312849162,6
7,4,"Mahalanobis",10,"1e-4",1e-04,0.525139664804469,6
7,4,"RF",10,"1e-3",0.001,0.782122905027933,6
7,4,"MultinomialLasso",10,"1e-3",0.001,0.76536312849162,6
7,4,"Mahalanobis",10,"1e-3",0.001,0.525139664804469,6
7,4,"RF",10,"1e-2",0.01,0.793296089385475,6
7,4,"MultinomialLasso",10,"1e-2",0.01,0.76536312849162,6
7,4,"Mahalanobis",10,"1e-2",0.01,0.525139664804469,6
7,4,"RF",10,"1e-1",0.1,0.793296089385475,6
