"t_end","fold","classifier","accuracy","k_use"
13.2,5,"MultinomialLasso",0.764044943820225,8
13.2,5,"Mahalanobis",0.595505617977528,8
13.4,1,"RF",0.744565217391304,7
13.4,1,"MultinomialLasso",0.75,7
13.4,1,"Mahalanobis",0.641304347826087,7
13.4,2,"RF",0.770491803278688,7
13.4,2,"MultinomialLasso",0.759562841530055,7
13.4,2,"Mahalanobis",0.568306010928962,7
13.4,3,"RF",0.761111111111111,7
13.4,3,"MultinomialLasso",0.766666666666667,7
13.4,3,"Mahalanobis",0.522222222222222,7
13.4,4,"RF",0.82122905027933,7
13.4,4,"MultinomialLasso",0.826815642458101,7
13.4,4,"Mahalanobis",0.508379888268156,7
13.4,5,"RF",0.764044943820225,8
13.4,5,"MultinomialLasso",0.769662921348315,8
13.4,5,"Mahalanobis",0.595505617977528,8
13.6,1,"RF",0.744565217391304,7
13.6,1,"MultinomialLasso",0.75,7
13.6,1,"Mahalanobis",0.646739130434783,7
13.6,2,"RF",0.781420765027322,7
13.6,2,"MultinomialLasso",0.759562841530055,7
13.6,2,"Mahalanobis",0.568306010928962,7
13.6,3,"RF",0.761111111111111,7
13.6,3,"MultinomialLasso",0.766666666666667,7
13.6,3,"Mahalanobis",0.522222222222222,7
13.6,4,"RF",0.782122905027933,8
13.6,4,"MultinomialLasso",0.804469273743017,8
13.6,4,"Mahalanobis",0.491620111731844,8
13.6,5,"RF",0.752808988764045,8
13.6,5,"MultinomialLasso",0.758426966292135,8
13.6,5,"Mahalanobis",0.595505617977528,8
13.8,1,"RF",0.760869565217391,7
13.8,1,"MultinomialLasso",0.755434782608696,7
13.8,1,"Mahalanobis",0.635869565217391,7
13.8,2,"RF",0.775956284153005,8
13.8,2,"MultinomialLasso",0.759562841530055,8
13.8,2,"Mahalanobis",0.53551912568306,8
13.8,3,"RF",0.755555555555556,8
13.8,3,"MultinomialLasso",0.772222222222222,8
13.8,3,"Mahalanobis",0.533333333333333,8
13.8,4,"RF",0.770949720670391,8
13.8,4,"MultinomialLasso",0.804469273743017,8
13.8,4,"Mahalanobis",0.491620111731844,8
13.8,5,"RF",0.769662921348315,8
13.8,5,"MultinomialLasso",0.758426966292135,8
13.8,5,"Mahalanobis",0.595505617977528,8
14,1,"RF",0.75,8
