"repeat_id","outer_fold","inner_fold","t_end","eps","log10_eps","k_use","accuracy"
5,3,3,17,1e-06,-6,9,0.527777777777778
5,3,4,17,1e-06,-6,9,0.563380281690141
5,3,5,17,1e-06,-6,9,0.52112676056338
5,3,1,18,1e-06,-6,9,0.570469798657718
5,3,2,18,1e-06,-6,9,0.585034013605442
5,3,3,18,1e-06,-6,9,0.527777777777778
5,3,4,18,1e-06,-6,9,0.584507042253521
5,3,5,18,1e-06,-6,9,0.507042253521127
5,3,1,19,1e-06,-6,9,0.557046979865772
5,3,2,19,1e-06,-6,10,0.591836734693878
5,3,3,19,1e-06,-6,10,0.527777777777778
5,3,4,19,1e-06,-6,10,0.563380281690141
5,3,5,19,1e-06,-6,10,0.507042253521127
5,3,1,20,1e-06,-6,10,0.583892617449664
5,3,2,20,1e-06,-6,10,0.564625850340136
5,3,3,20,1e-06,-6,10,0.555555555555556
5,3,4,20,1e-06,-6,10,0.556338028169014
5,3,5,20,1e-06,-6,10,0.492957746478873
5,4,1,6,1e-06,-6,4,0.651006711409396
5,4,2,6,1e-06,-6,4,0.591836734693878
5,4,3,6,1e-06,-6,4,0.586206896551724
5,4,4,6,1e-06,-6,4,0.633802816901408
5,4,5,6,1e-06,-6,4,0.654929577464789
5,4,1,7,1e-06,-6,5,0.624161073825503
5,4,2,7,1e-06,-6,5,0.639455782312925
5,4,3,7,1e-06,-6,5,0.558620689655172
5,4,4,7,1e-06,-6,5,0.563380281690141
5,4,5,7,1e-06,-6,5,0.697183098591549
5,4,1,8,1e-06,-6,5,0.604026845637584
5,4,2,8,1e-06,-6,5,0.639455782312925
5,4,3,8,1e-06,-6,5,0.551724137931034
5,4,4,8,1e-06,-6,5,0.584507042253521
5,4,5,8,1e-06,-6,5,0.676056338028169
5,4,1,9,1e-06,-6,6,0.583892617449664
5,4,2,9,1e-06,-6,6,0.612244897959184
5,4,3,9,1e-06,-6,6,0.544827586206897
5,4,4,9,1e-06,-6,6,0.549295774647887
5,4,5,9,1e-06,-6,6,0.626760563380282
5,4,1,10,1e-06,-6,6,0.590604026845638
5,4,2,10,1e-06,-6,6,0.557823129251701
5,4,3,10,1e-06,-6,6,0.544827586206897
5,4,4,10,1e-06,-6,6,0.535211267605634
5,4,5,10,1e-06,-6,6,0.633802816901408
5,4,1,11,1e-06,-6,7,0.570469798657718
5,4,2,11,1e-06,-6,7,0.564625850340136
5,4,3,11,1e-06,-6,7,0.56551724137931
5,4,4,11,1e-06,-6,7,0.514084507042254
5,4,5,11,1e-06,-6,7,0.640845070422535
5,4,1,12,1e-06,-6,7,0.597315436241611
5,4,2,12,1e-06,-6,7,0.571428571428571
5,4,3,12,1e-06,-6,7,0.593103448275862
5,4,4,12,1e-06,-6,7,0.507042253521127
5,4,5,12,1e-06,-6,7,0.605633802816901
5,4,1,13,1e-06,-6,7,0.570469798657718
5,4,2,13,1e-06,-6,7,0.54421768707483
5,4,3,13,1e-06,-6,7,0.572413793103448
5,4,4,13,1e-06,-6,7,0.535211267605634
5,4,5,13,1e-06,-6,7,0.591549295774648
5,4,1,14,1e-06,-6,8,0.583892617449664
5,4,2,14,1e-06,-6,8,0.517006802721088
5,4,3,14,1e-06,-6,8,0.6
5,4,4,14,1e-06,-6,8,0.528169014084507
5,4,5,14,1e-06,-6,7,0.584507042253521
5,4,1,15,1e-06,-6,8,0.604026845637584
5,4,2,15,1e-06,-6,8,0.517006802721088
5,4,3,15,1e-06,-6,8,0.593103448275862
5,4,4,15,1e-06,-6,8,0.52112676056338
5,4,5,15,1e-06,-6,8,0.619718309859155
5,4,1,16,1e-06,-6,8,0.604026845637584
5,4,2,16,1e-06,-6,9,0.537414965986395
5,4,3,16,1e-06,-6,8,0.606896551724138
5,4,4,16,1e-06,-6,8,0.5
5,4,5,16,1e-06,-6,8,0.612676056338028
5,4,1,17,1e-06,-6,9,0.590604026845638
5,4,2,17,1e-06,-6,9,0.564625850340136
5,4,3,17,1e-06,-6,9,0.56551724137931
5,4,4,17,1e-06,-6,9,0.47887323943662
5,4,5,17,1e-06,-6,9,0.619718309859155
5,4,1,18,1e-06,-6,9,0.604026845637584
5,4,2,18,1e-06,-6,9,0.564625850340136
5,4,3,18,1e-06,-6,9,0.537931034482759
5,4,4,18,1e-06,-6,9,0.471830985915493
5,4,5,18,1e-06,-6,9,0.626760563380282
5,4,1,19,1e-06,-6,10,0.597315436241611
5,4,2,19,1e-06,-6,10,0.54421768707483
5,4,3,19,1e-06,-6,9,0.537931034482759
5,4,4,19,1e-06,-6,10,0.5
5,4,5,19,1e-06,-6,9,0.626760563380282
5,4,1,20,1e-06,-6,10,0.583892617449664
5,4,2,20,1e-06,-6,10,0.54421768707483
5,4,3,20,1e-06,-6,10,0.544827586206897
5,4,4,20,1e-06,-6,10,0.507042253521127
5,4,5,20,1e-06,-6,10,0.640845070422535
5,5,1,6,1e-06,-6,4,0.604026845637584
5,5,2,6,1e-06,-6,4,0.63265306122449
