"repeat_id","fold_id","model","t_end","accuracy_95","accuracy_98","paired_difference_98_minus_95","k_95","k_98"
9,1,"Mahalanobis",10,0.532608695652174,0.53804347826087,0.00543478260869557,6,12
9,2,"RF",10,0.786885245901639,0.808743169398907,0.0218579234972678,6,13
9,2,"MultinomialLasso",10,0.765027322404372,0.770491803278688,0.00546448087431695,6,13
9,2,"Mahalanobis",10,0.557377049180328,0.612021857923497,0.0546448087431695,6,13
9,3,"RF",10,0.833333333333333,0.811111111111111,-0.0222222222222223,6,13
9,3,"MultinomialLasso",10,0.794444444444444,0.788888888888889,-0.00555555555555554,6,13
9,3,"Mahalanobis",10,0.577777777777778,0.627777777777778,0.05,6,13
9,4,"RF",10,0.810055865921788,0.810055865921788,0,6,13
9,4,"MultinomialLasso",10,0.793296089385475,0.804469273743017,0.0111731843575419,6,13
9,4,"Mahalanobis",10,0.597765363128492,0.608938547486033,0.0111731843575419,6,13
9,5,"RF",10,0.741573033707865,0.769662921348315,0.0280898876404494,6,12
9,5,"MultinomialLasso",10,0.735955056179775,0.747191011235955,0.0112359550561798,6,12
9,5,"Mahalanobis",10,0.533707865168539,0.634831460674157,0.101123595505618,6,12
10,1,"RF",10,0.83695652173913,0.847826086956522,0.0108695652173912,6,13
10,1,"MultinomialLasso",10,0.809782608695652,0.760869565217391,-0.0489130434782609,6,13
10,1,"Mahalanobis",10,0.576086956521739,0.614130434782609,0.0380434782608695,6,13
10,2,"RF",10,0.765027322404372,0.786885245901639,0.0218579234972678,6,13
10,2,"MultinomialLasso",10,0.775956284153005,0.737704918032787,-0.0382513661202185,6,13
10,2,"Mahalanobis",10,0.53551912568306,0.562841530054645,0.0273224043715846,6,13
10,3,"RF",10,0.761111111111111,0.788888888888889,0.0277777777777778,6,13
10,3,"MultinomialLasso",10,0.794444444444444,0.772222222222222,-0.0222222222222221,6,13
10,3,"Mahalanobis",10,0.6,0.661111111111111,0.0611111111111111,6,13
10,4,"RF",10,0.793296089385475,0.82122905027933,0.0279329608938547,6,12
10,4,"MultinomialLasso",10,0.770949720670391,0.810055865921788,0.0391061452513967,6,12
10,4,"Mahalanobis",10,0.575418994413408,0.592178770949721,0.0167597765363129,6,12
