"repeat_id","fold_id","model","t_end","baseline_accuracy","sulfur_accuracy","paired_difference","k_use"
17,4,"MultinomialLasso",10,0.810055865921788,0.793296089385475,-0.0167597765363128,6
17,4,"Mahalanobis",10,0.575418994413408,0.564245810055866,-0.0111731843575419,6
17,5,"RF",10,0.786516853932584,0.797752808988764,0.0112359550561797,6
17,5,"MultinomialLasso",10,0.792134831460674,0.797752808988764,0.00561797752808979,6
17,5,"Mahalanobis",10,0.533707865168539,0.556179775280899,0.0224719101123596,6
18,1,"RF",10,0.771739130434783,0.766304347826087,-0.00543478260869568,6
18,1,"MultinomialLasso",10,0.755434782608696,0.75,-0.00543478260869568,6
18,1,"Mahalanobis",10,0.554347826086957,0.548913043478261,-0.00543478260869568,6
18,2,"RF",10,0.759562841530055,0.765027322404372,0.00546448087431695,6
18,2,"MultinomialLasso",10,0.726775956284153,0.726775956284153,0,6
18,2,"Mahalanobis",10,0.595628415300546,0.573770491803279,-0.0218579234972678,6
18,3,"RF",10,0.844444444444444,0.827777777777778,-0.0166666666666667,6
18,3,"MultinomialLasso",10,0.833333333333333,0.827777777777778,-0.00555555555555565,6
18,3,"Mahalanobis",10,0.516666666666667,0.538888888888889,0.0222222222222221,6
18,4,"RF",10,0.798882681564246,0.782122905027933,-0.0167597765363129,6
18,4,"MultinomialLasso",10,0.798882681564246,0.793296089385475,-0.00558659217877089,6
18,4,"Mahalanobis",10,0.642458100558659,0.642458100558659,0,6
18,5,"RF",10,0.769662921348315,0.775280898876405,0.0056179775280899,6
18,5,"MultinomialLasso",10,0.797752808988764,0.792134831460674,-0.00561797752808979,6
18,5,"Mahalanobis",10,0.51685393258427,0.50561797752809,-0.0112359550561798,6
19,1,"RF",10,0.804347826086957,0.798913043478261,-0.00543478260869568,6
19,1,"MultinomialLasso",10,0.78804347826087,0.798913043478261,0.0108695652173914,6
19,1,"Mahalanobis",10,0.576086956521739,0.576086956521739,0,6
19,2,"RF",10,0.759562841530055,0.754098360655738,-0.00546448087431695,6
19,2,"MultinomialLasso",10,0.737704918032787,0.748633879781421,0.0109289617486339,6
19,2,"Mahalanobis",10,0.562841530054645,0.595628415300546,0.0327868852459017,6
19,3,"RF",10,0.75,0.744444444444444,-0.00555555555555554,6
19,3,"MultinomialLasso",10,0.783333333333333,0.772222222222222,-0.0111111111111111,6
19,3,"Mahalanobis",10,0.555555555555556,0.561111111111111,0.00555555555555554,6
19,4,"RF",10,0.776536312849162,0.782122905027933,0.00558659217877089,6
19,4,"MultinomialLasso",10,0.782122905027933,0.776536312849162,-0.00558659217877089,6
19,4,"Mahalanobis",10,0.564245810055866,0.558659217877095,-0.005586592178771,6
19,5,"RF",10,0.837078651685393,0.808988764044944,-0.0280898876404495,6
19,5,"MultinomialLasso",10,0.808988764044944,0.797752808988764,-0.0112359550561798,6
19,5,"Mahalanobis",10,0.601123595505618,0.601123595505618,0,6
20,1,"RF",10,0.798913043478261,0.798913043478261,0,6
20,1,"MultinomialLasso",10,0.777173913043478,0.782608695652174,0.00543478260869568,6
20,1,"Mahalanobis",10,0.532608695652174,0.548913043478261,0.0163043478260869,6
20,2,"RF",10,0.775956284153005,0.754098360655738,-0.0218579234972678,6
20,2,"MultinomialLasso",10,0.765027322404372,0.770491803278688,0.00546448087431695,6
20,2,"Mahalanobis",10,0.573770491803279,0.573770491803279,0,6
20,3,"RF",10,0.8,0.772222222222222,-0.0277777777777778,6
20,3,"MultinomialLasso",10,0.822222222222222,0.794444444444444,-0.0277777777777778,6
20,3,"Mahalanobis",10,0.577777777777778,0.577777777777778,0,6
20,4,"RF",10,0.810055865921788,0.798882681564246,-0.0111731843575419,7
20,4,"MultinomialLasso",10,0.815642458100559,0.810055865921788,-0.005586592178771,7
20,4,"Mahalanobis",10,0.603351955307263,0.597765363128492,-0.005586592178771,7
20,5,"RF",10,0.724719101123595,0.741573033707865,0.0168539325842697,6
20,5,"MultinomialLasso",10,0.747191011235955,0.747191011235955,0,6
20,5,"Mahalanobis",10,0.623595505617977,0.601123595505618,-0.0224719101123595,6
